weights_str,w0,w1,w2,reg_ip,mae_ERA,mae_WHIP
4/1/1,4,1,1,400,0.69539,0.13146
8/2/2,8,2,2,800,0.69539,0.13146
5/1/4,5,1,4,800,0.69547,0.13119
7/5/2,7,5,2,400,0.69568,0.13152
3/5/1,3,5,1,200,0.6957,0.13176
7/2/2,7,2,2,600,0.69579,0.13171
8/3/2,8,3,2,600,0.69582,0.13158
5/3/2,5,3,2,300,0.69596,0.13126
3/1/4,3,1,4,600,0.69599,0.1307
4/2/3,4,2,3,300,0.69611,0.13124
6/3/3,6,3,3,400,0.6962,0.13118
5/2/1,5,2,1,400,0.69641,0.13123
4/4/3,4,4,3,200,0.69643,0.13119
6/1/3,6,1,3,800,0.69651,0.13149
6/5/4,6,5,4,300,0.69654,0.13112
6/3/2,6,3,2,400,0.6966,0.13138
6/1/1,6,1,1,800,0.69682,0.13159
8/4/1,8,4,1,600,0.69684,0.13119
7/2/4,7,2,4,600,0.69685,0.13175
4/4/2,4,4,2,200,0.69689,0.13211
5/1/1,5,1,1,600,0.69705,0.13139
5/3/3,5,3,3,300,0.69742,0.13138
6/3/4,6,3,4,400,0.69748,0.13128
7/1/1,7,1,1,800,0.69759,0.13206
6/5/3,6,5,3,300,0.69762,0.13211
5/3/1,5,3,1,300,0.69763,0.13172
5/2/4,5,2,4,400,0.69779,0.13169
4/4/1,4,4,1,200,0.69779,0.13274
3/1/3,3,1,3,300,0.69781,0.13063
4/3/2,4,3,2,200,0.69792,0.13169
4/5/3,4,5,3,200,0.69793,0.1312
3/2/3,3,2,3,200,0.69801,0.13056
6/5/2,6,5,2,300,0.69804,0.1324
5/1/3,5,1,3,600,0.69805,0.13152
4/3/3,4,3,3,200,0.69816,0.13084
5/3/4,5,3,4,300,0.69842,0.13056
6/1/4,6,1,4,800,0.69846,0.1316
7/4/2,7,4,2,400,0.69847,0.13174
7/1/2,7,1,2,800,0.69869,0.13178
3/5/3,3,5,3,200,0.69897,0.13048
7/4/3,7,4,3,400,0.699,0.13174
6/4/3,6,4,3,300,0.69907,0.13183
7/4/4,7,4,4,400,0.6991,0.13164
6/2/3,6,2,3,400,0.69928,0.13215
4/1/3,4,1,3,400,0.6994,0.13199
8/2/1,8,2,1,800,0.69944,0.13188
5/1/4,5,1,4,600,0.69952,0.13162
6/4/2,6,4,2,300,0.69961,0.13212
4/3/1,4,3,1,200,0.69962,0.1327
3/1/1,3,1,1,200,0.69966,0.13207
6/2/2,6,2,2,400,0.69966,0.13207
8/2/3,8,2,3,600,0.69968,0.13231
6/5/1,6,5,1,300,0.6999,0.13303
7/2/1,7,2,1,600,0.69997,0.13193
3/4/4,3,4,4,200,0.70003,0.13065
7/1/3,7,1,3,800,0.70003,0.13201
3/2/4,3,2,4,300,0.70008,0.13005
5/2/2,5,2,2,300,0.70011,0.13203
8/3/1,8,3,1,600,0.70029,0.13204
4/5/1,4,5,1,200,0.70029,0.1335
6/1/2,6,1,2,600,0.70035,0.13182
8/5/3,8,5,3,400,0.7004,0.13201
7/5/1,7,5,1,400,0.7004,0.13201
4/2/4,4,2,4,300,0.70042,0.13097
7/3/3,7,3,3,400,0.70061,0.13209
4/1/4,4,1,4,400,0.70083,0.13118
6/3/1,6,3,1,400,0.70086,0.13196
7/1/4,7,1,4,800,0.70108,0.13201
4/1/2,4,1,2,300,0.70114,0.13239
8/2/4,8,2,4,600,0.70114,0.13239
5/2/3,5,2,3,300,0.7013,0.13227
8/5/4,8,5,4,400,0.70143,0.13206
7/3/4,7,3,4,400,0.70144,0.1323
7/3/2,7,3,2,400,0.70157,0.13238
8/5/2,8,5,2,400,0.70162,0.13231
6/4/4,6,4,4,300,0.70178,0.13209
5/5/3,5,5,3,200,0.70188,0.13216
6/4/1,6,4,1,300,0.70197,0.1327
6/1/3,6,1,3,600,0.70222,0.13222
3/1/4,3,1,4,400,0.70261,0.13109
8/2/2,8,2,2,600,0.70262,0.13256
4/1/1,4,1,1,300,0.70262,0.13256
4/5/4,4,5,4,200,0.70272,0.13131
3/1/2,3,1,2,200,0.70281,0.13253
6/2/4,6,2,4,400,0.70281,0.13253
7/5/3,7,5,3,300,0.70316,0.13252
7/4/1,7,4,1,400,0.70341,0.13227
7/5/4,7,5,4,300,0.70353,0.13236
5/5/2,5,5,2,200,0.70355,0.13339
6/1/1,6,1,1,600,0.70359,0.13233
3/5/4,3,5,4,200,0.70359,0.13104
8/1/1,8,1,1,800,0.70361,0.13298
4/4/4,4,4,4,200,0.70364,0.13142
5/1/2,5,1,2,400,0.70388,0.13246
4/2/2,4,2,2,200,0.70394,0.13244
8/1/3,8,1,3,800,0.70394,0.13269
8/4/4,8,4,4,400,0.70394,0.13244
6/3/3,6,3,3,300,0.70394,0.13244
6/1/4,6,1,4,600,0.704,0.13233
3/3/4,3,3,4,200,0.70401,0.13117
7/5/2,7,5,2,300,0.70413,0.13289
8/4/3,8,4,3,400,0.70425,0.1326
8/1/4,8,1,4,800,0.70428,0.13256
6/2/1,6,2,1,400,0.70452,0.13265
6/3/2,6,3,2,300,0.70455,0.13269
5/2/1,5,2,1,300,0.70482,0.13253
5/4/2,5,4,2,200,0.70487,0.13333
5/5/1,5,5,1,200,0.7054,0.13415
5/5/4,5,5,4,200,0.7054,0.13235
5/4/3,5,4,3,200,0.70541,0.13317
4/2/1,4,2,1,200,0.70556,0.13293
8/4/2,8,4,2,400,0.70556,0.13293
7/2/3,7,2,3,400,0.70559,0.13317
5/4/4,5,4,4,200,0.70574,0.13253
8/1/2,8,1,2,800,0.70581,0.13249
7/1/1,7,1,1,600,0.7059,0.13313
6/3/4,6,3,4,300,0.70597,0.13245
5/2/4,5,2,4,300,0.70601,0.13278
8/3/3,8,3,3,400,0.7061,0.13301
7/1/2,7,1,2,600,0.70616,0.13278
8/3/4,8,3,4,400,0.70624,0.13311
4/1/3,4,1,3,300,0.70625,0.13304
4/3/4,4,3,4,200,0.70635,0.13173
7/3/1,7,3,1,400,0.70669,0.13291
5/1/3,5,1,3,400,0.70676,0.13282
7/1/3,7,1,3,600,0.70685,0.13303
7/4/2,7,4,2,300,0.70687,0.13307
8/5/1,8,5,1,400,0.70694,0.13294
5/4/1,5,4,1,200,0.70699,0.1341
7/4/3,7,4,3,300,0.70712,0.13297
5/1/1,5,1,1,400,0.70721,0.13274
7/2/2,7,2,2,400,0.70722,0.13353
5/3/2,5,3,2,200,0.70743,0.13299
7/4/4,7,4,4,300,0.70768,0.13282
7/1/4,7,1,4,600,0.70773,0.13301
6/2/3,6,2,3,300,0.70779,0.13334
3/1/3,3,1,3,200,0.70781,0.13215
8/2/1,8,2,1,600,0.70783,0.13303
8/3/2,8,3,2,400,0.70796,0.13346
4/2/3,4,2,3,200,0.708,0.13296
4/1/4,4,1,4,300,0.70813,0.13222
6/2/2,6,2,2,300,0.70822,0.13338
7/2/4,7,2,4,400,0.70827,0.13334
5/1/4,5,1,4,400,0.70845,0.13303
7/3/3,7,3,3,300,0.70876,0.13332
8/5/3,8,5,3,300,0.709,0.13327
6/5/4,6,5,4,200,0.70902,0.13314
3/1/4,3,1,4,300,0.70904,0.13188
5/3/3,5,3,3,200,0.70954,0.13309
7/5/1,7,5,1,300,0.70962,0.13363
8/4/1,8,4,1,400,0.7097,0.13321
6/3/1,6,3,1,300,0.70993,0.13337
6/5/3,6,5,3,200,0.70996,0.13401
5/3/1,5,3,1,200,0.71002,0.13373
8/5/4,8,5,4,300,0.71003,0.13325
3/2/4,3,2,4,200,0.71021,0.13183
6/5/2,6,5,2,200,0.71028,0.13437
7/3/2,7,3,2,300,0.71038,0.13373
7/3/4,7,3,4,300,0.71041,0.13346
8/5/2,8,5,2,300,0.71043,0.13371
5/3/4,5,3,4,200,0.71088,0.13251
6/4/3,6,4,3,200,0.71131,0.13361
6/1/2,6,1,2,400,0.71163,0.13346
8/2/3,8,2,3,400,0.71178,0.13415
8/1/3,8,1,3,600,0.71181,0.13381
5/2/2,5,2,2,200,0.71186,0.13382
6/4/2,6,4,2,200,0.7119,0.13398
6/2/4,6,2,4,300,0.71196,0.13369
8/1/4,8,1,4,600,0.71199,0.13366
4/2/4,4,2,4,200,0.71224,0.13294
5/1/2,5,1,2,300,0.71244,0.13368
7/4/1,7,4,1,300,0.71259,0.13384
7/2/1,7,2,1,400,0.71272,0.13398
8/4/4,8,4,4,300,0.71273,0.13364
8/4/3,8,4,3,300,0.71284,0.13389
8/1/1,8,1,1,600,0.71309,0.13431
6/1/3,6,1,3,400,0.71313,0.13375
6/5/1,6,5,1,200,0.71333,0.13523
4/1/2,4,1,2,200,0.71349,0.13418
8/2/4,8,2,4,400,0.71349,0.13418
8/3/1,8,3,1,400,0.7138,0.13414
6/2/1,6,2,1,300,0.71422,0.1341
