weights_str,w0,w1,w2,reg_ip,mae_ERA,mae_WHIP
7/4/2,7,4,2,600,0.70052,0.13343
4/3/4,4,3,4,400,0.70058,0.13246
8/3/4,8,3,4,800,0.7007,0.13393
6/5/4,6,5,4,400,0.70074,0.13335
4/1/4,4,1,4,800,0.70076,0.13364
3/5/3,3,5,3,300,0.70078,0.13226
7/4/4,7,4,4,600,0.70081,0.13348
7/4/3,7,4,3,600,0.70083,0.13346
5/3/2,5,3,2,400,0.70086,0.13344
4/1/3,4,1,3,800,0.70086,0.13448
5/2/4,5,2,4,600,0.7009,0.13389
8/3/3,8,3,3,800,0.701,0.1338
4/3/1,4,3,1,300,0.70101,0.13403
4/2/3,4,2,3,400,0.70126,0.13373
4/1/2,4,1,2,600,0.70143,0.13432
3/4/4,3,4,4,300,0.70148,0.13249
4/1/1,4,1,1,600,0.70186,0.13443
7/5/1,7,5,1,600,0.70187,0.13355
4/5/1,4,5,1,300,0.7019,0.13438
5/3/3,5,3,3,400,0.70194,0.13362
3/3/1,3,3,1,200,0.70195,0.13422
6/5/3,6,5,3,400,0.70204,0.13416
8/5/3,8,5,3,600,0.70207,0.13364
7/3/3,7,3,3,600,0.70215,0.13391
6/2/3,6,2,3,600,0.7022,0.13425
5/2/1,5,2,1,600,0.70224,0.13378
3/4/2,3,4,2,200,0.70237,0.13313
6/2/1,6,2,1,800,0.70249,0.13408
5/5/3,5,5,3,300,0.7025,0.13361
7/2/4,7,2,4,800,0.70251,0.13432
7/3/4,7,3,4,600,0.70256,0.13424
5/3/1,5,3,1,400,0.70258,0.13385
5/3/4,5,3,4,400,0.70258,0.13301
7/2/3,7,2,3,800,0.7027,0.13432
6/5/2,6,5,2,400,0.70272,0.13428
8/5/4,8,5,4,600,0.7029,0.13375
3/1/3,3,1,3,400,0.70292,0.13351
4/1/3,4,1,3,600,0.70304,0.13451
7/3/1,7,3,1,800,0.70308,0.13396
8/5/2,8,5,2,600,0.70315,0.13387
4/5/4,4,5,4,300,0.70322,0.1328
7/3/2,7,3,2,600,0.70326,0.13414
4/1/4,4,1,4,600,0.70342,0.13377
6/4/3,6,4,3,400,0.70359,0.13399
3/1/4,3,1,4,800,0.70359,0.1345
7/2/2,7,2,2,800,0.70368,0.13457
4/4/4,4,4,4,300,0.70381,0.13295
8/3/2,8,3,2,800,0.704,0.13431
3/5/4,3,5,4,300,0.70412,0.13278
3/1/2,3,1,2,300,0.70423,0.13448
6/2/4,6,2,4,600,0.70423,0.13448
5/1/2,5,1,2,800,0.70424,0.13447
3/2/1,3,2,1,200,0.70427,0.13414
6/4/2,6,4,2,400,0.70427,0.13414
6/2/2,6,2,2,600,0.70441,0.13432
3/1/1,3,1,1,300,0.70441,0.13432
5/5/2,5,5,2,300,0.70442,0.13459
7/4/1,7,4,1,600,0.70442,0.13392
6/5/1,6,5,1,400,0.70446,0.1346
3/2/4,3,2,4,400,0.70447,0.13298
5/2/2,5,2,2,400,0.70456,0.13426
8/4/1,8,4,1,800,0.70463,0.13391
4/2/4,4,2,4,400,0.7047,0.13343
8/4/4,8,4,4,600,0.70487,0.13405
4/2/2,4,2,2,300,0.70487,0.13405
3/3/4,3,3,4,300,0.70489,0.13302
5/2/3,5,2,3,400,0.70492,0.13459
5/4/3,5,4,3,300,0.70516,0.13462
5/4/2,5,4,2,300,0.70532,0.1347
6/3/1,6,3,1,600,0.70532,0.13411
8/4/3,8,4,3,600,0.70533,0.13417
